short_name,overall,age,height_cm,weight_kg,club_name,club_position,nationality_name,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_finishing,attacking_heading_accuracy,skill_dribbling
P. Pomykal,67,21,170,66,FC Dallas,RM,United States,2,1,73,58,68,69,56,65,53,42,67
J. Masson,67,23,182,76,Valenciennes FC,CM,France,2,1,62,42,58,58,63,78,32,61,55
B. Baningime,67,22,178,70,Heart of Midlothian,RCM,Congo DR,2,1,54,46,62,65,66,63,36,55,66
D. Sterling,67,21,180,72,Blackpool,SUB,England,3,1,75,48,56,64,64,68,50,58,67
M. Roerslev,67,22,184,67,Brentford,SUB,Denmark,3,1,75,39,59,64,60,65,32,43,63
F. Beijmo,67,23,186,82,Malmö FF,SUB,Sweden,2,1,80,37,53,60,62,73,23,58,58
J. Pendant,67,24,177,64,New York Red Bulls,SUB,France,2,1,75,32,56,60,63,69,32,51,63
A. Erlingmark,67,23,189,80,IFK Göteborg,SUB,Sweden,2,1,63,55,57,60,66,74,52,68,56
D. Gazdag,67,25,178,76,Philadelphia Union,SUB,Hungary,3,1,76,62,64,68,51,61,62,47,69
H. Mendyl,67,23,179,73,Gazişehir Gaziantep F.K.,LWB,Morocco,3,1,85,43,57,65,61,66,36,57,65
N. Nartey,67,21,185,81,VfB Stuttgart,RES,Denmark,3,1,71,49,65,73,62,70,55,60,73
B. Wilmot,67,21,188,80,Stoke City,LCB,England,2,1,47,30,48,55,68,67,16,68,58
Tachi,67,23,184,82,Deportivo Alavés,SUB,Spain,2,1,54,29,46,48,68,58,26,75,40
Luis Perea,67,23,191,83,CD Leganés,RES,Spain,2,1,53,54,61,65,62,71,52,68,66
Renê Santos,67,29,184,74,Al Raed,CB,Brazil,2,1,53,43,51,56,66,78,38,57,52
K. Tani,67,20,187,84,Shonan Bellmare,GK,Japan,1,1,,,,,,,5,10,5
D. Wiebe,67,27,187,73,Eintracht Braunschweig,RB,Germany,2,1,58,43,63,64,66,72,30,58,63
Song Bum Keun,67,23,194,88,Jeonbuk Hyundai Motors,GK,Korea Republic,1,1,,,,,,,17,18,15
M. Heider,67,35,187,82,VfL Osnabrück,ST,Germany,2,1,73,67,59,63,53,80,66,67,59
K. Gjasula,67,31,191,84,SV Darmstadt 98,RDM,Albania,2,1,38,50,55,54,67,86,43,67,50
S. Kowalczyk,67,22,170,60,Pogoń Szczecin,SUB,Poland,3,1,80,59,62,68,39,52,61,37,64
Alexandre Guedes,67,27,185,78,Raków Częstochowa,SUB,Portugal,3,1,61,65,59,63,21,67,66,69,64
Matheus Aiás,67,24,175,72,Real Oviedo,SUB,Brazil,2,1,75,66,49,69,27,61,69,62,68
J. Jugas,67,29,186,79,Cracovia,RCB,Czech Republic,2,1,63,45,51,50,67,75,41,71,43
Ž. Majer,67,28,180,70,Lecce,RCM,Slovenia,3,1,61,58,69,70,55,65,57,52,71
Delmás,67,26,173,61,FC Cartagena,SUB,Spain,2,1,69,36,56,63,63,72,29,60,63
S. Çiftpınar,67,28,183,78,Yeni Malatyaspor,SUB,Turkey,2,1,51,25,42,47,70,65,23,73,35
L. Grgic,67,25,183,84,LASK Linz,SUB,Austria,2,1,69,42,59,62,65,81,32,61,63
B. Țîru,67,27,185,80,Jagiellonia Białystok,SUB,Romania,2,1,58,34,44,48,67,80,28,68,39
K. Nwakali,67,23,180,76,SD Huesca,RCM,Nigeria,3,1,71,60,63,70,54,61,64,50,70
A. Benchaib,67,23,181,71,Royal Charleroi S.C.,SUB,Belgium,3,1,76,62,61,72,38,60,64,36,73
Oriol Busquets,67,22,185,77,Clermont Foot 63,SUB,Spain,2,1,44,43,63,64,64,67,36,64,63
K. Dabila,67,24,183,80,LOSC Lille,RES,Côte d'Ivoire,2,1,54,31,47,54,69,67,25,65,51
P. Köhn,67,23,190,80,FC Red Bull Salzburg,GK,Switzerland,1,1,,,,,,,8,12,12
F. Flecker,67,25,176,70,LASK Linz,RM,Austria,3,1,84,60,58,70,36,55,65,38,68
M. Meulensteen,67,21,184,76,RKC Waalwijk,RCB,Netherlands,2,1,65,56,64,64,67,71,52,62,61
J. Earl,67,22,193,78,Preston North End,RES,England,3,1,75,45,54,63,63,73,39,55,64
G. Roemeratoe,67,21,178,74,Willem II,SUB,Netherlands,3,1,70,44,59,64,66,73,39,60,62
Areso,67,21,182,81,CA Osasuna,RES,Spain,3,1,72,30,62,66,61,66,25,58,65
A. Medina,67,23,180,74,Club Necaxa,SUB,Mexico,2,1,76,58,64,67,59,61,58,54,70
K. Fila,67,23,180,72,RC Strasbourg Alsace,RB,Poland,3,1,81,47,60,61,61,68,47,51,56
R. Palmer,67,22,181,70,Barnsley,RCM,England,3,1,63,53,59,67,60,65,53,40,67
M. Biankadi,67,26,181,78,TSV 1860 München,SUB,Germany,3,1,80,57,58,68,54,76,59,55,71
D. Reiter,67,23,173,74,SC Rheindorf Altach,RM,Austria,2,1,77,63,62,66,24,60,65,59,66
A. Czerwiński,67,28,181,74,Lech Poznań,RB,Poland,3,1,82,42,61,64,61,70,44,57,64
K. Kouao,67,23,173,65,FC Vizela,RB,Côte d'Ivoire,2,1,75,35,50,63,62,65,33,48,61
R. Taylor,67,26,182,78,SK Brann,LW,Finland,3,1,79,65,62,69,51,71,62,40,73
S. Reyes,67,23,174,70,Club América,SUB,Mexico,2,1,78,56,63,69,62,64,55,59,65
G. Gentile,67,26,184,70,Universidad Técnica de Cajamarca,LM,Argentina,4,1,77,62,64,67,46,63,59,62,68
M. Suleymanov,67,21,171,66,GZT Giresunspor,SUB,Russia,2,1,72,68,59,70,29,46,67,43,70
H. Duljević,67,27,185,82,F.C. Hansa Rostock,SUB,Bosnia and Herzegovina,3,1,80,62,63,72,42,72,61,59,73
H. Traore,67,24,175,74,GZT Giresunspor,RCM,Mali,2,1,72,64,63,70,66,73,60,60,72
A. Katranis,67,23,174,73,Piast Gliwice,SUB,Greece,2,1,72,47,60,66,63,67,40,64,66
T. Reijnders,67,22,185,73,AZ Alkmaar,LCM,Netherlands,3,1,76,61,67,70,58,66,59,55,69
L. Morales,67,30,180,72,Gimnasia y Esgrima La Plata,RCB,Argentina,2,1,66,33,52,60,69,67,32,69,60
A. Manneh,67,23,170,61,Górnik Zabrze,LCM,Gambia,2,1,68,61,68,69,59,59,59,54,67
M. Ellingsen,67,26,180,75,Molde FK,SUB,Norway,3,1,61,60,65,67,64,71,56,58,64
G. Poussin,67,22,184,85,FC Girondins de Bordeaux,SUB,France,1,1,,,,,,,7,14,13
J. Bursik,67,20,187,75,Stoke City,GK,England,1,1,,,,,,,20,11,21
E. Amenyido,67,23,180,75,FC St. Pauli,SUB,Togo,3,1,77,62,57,67,38,71,66,61,67
E. Apeh,67,24,183,83,CD Tenerife,SUB,Nigeria,3,1,70,66,54,64,26,63,66,68,65
Berrocal,67,21,187,72,Real Sporting de Gijón,SUB,Spain,2,1,61,35,48,51,67,69,24,67,39
Javi Pérez,67,25,184,74,UD Ibiza,RDM,Spain,2,1,50,62,60,61,65,68,62,63,63
F. Aksoy,67,23,189,78,Aytemiz Alanyaspor,SUB,Turkey,2,1,34,42,54,60,70,70,41,65,59
C. Kelleher,67,22,188,74,Liverpool,SUB,Republic of Ireland,1,1,,,,,,,6,13,10
R. de la Rosa,67,21,179,80,Pachuca,SUB,Mexico,2,1,70,67,54,64,18,63,65,66,59
N. Estévez,67,25,181,75,Crotone,RES,Argentina,3,1,69,64,68,69,64,67,67,57,67
A. Vetrih,67,30,181,75,Gazişehir Gaziantep F.K.,RES,Slovenia,2,1,65,55,64,67,61,71,47,55,66
S. Oum Gouet,67,23,185,75,KV Mechelen,RDM,Cameroon,2,1,59,53,64,65,63,75,47,62,64
Cristian Rivero,67,23,188,75,Valencia CF,RES,Spain,1,1,,,,,,,7,10,8
W. Geubbels,67,19,185,72,FC Nantes,SUB,France,3,1,86,67,55,66,26,53,69,59,67
S. Sadzoute,67,23,172,56,Oud-Heverlee Leuven,RES,France,2,1,75,46,59,67,62,59,39,55,67
T. Holmes,67,21,189,82,Reading,SUB,England,2,1,59,25,53,53,66,72,20,67,50
A. Sissoko,67,24,178,68,AS Saint-Étienne,RES,France,2,1,75,33,56,59,64,63,31,61,56
J. Tucker,67,21,192,85,Gillingham,LCB,England,2,1,68,26,45,46,66,79,24,66,42
U. Cardona,67,22,177,69,Mazatlán Futbol Club,SUB,Mexico,2,1,76,61,63,68,54,51,63,58,70
P. Pfeiffer,67,21,196,91,SV Darmstadt 98,LCB,Germany,2,1,62,33,43,52,68,70,29,69,51
R. Massimo,67,20,181,77,VfB Stuttgart,RM,Germany,3,1,87,59,56,70,53,59,61,55,71
C. Rocchia,67,23,172,70,Dijon FCO,LB,France,2,1,76,43,57,62,62,65,37,58,57
A. Pereira,67,21,181,75,Rosenborg BK,SUB,Norway,3,1,78,57,57,66,60,67,54,48,65
N. Quina,67,34,184,78,Club Universitario de Deportes,LCB,Peru,2,1,70,24,54,60,64,56,20,55,60
Chumi,67,22,186,78,Unión Deportiva Almería,RCB,Spain,2,1,53,36,49,55,67,67,30,63,51
R. Atkinson,67,22,193,85,Bristol City,LCB,England,2,1,54,25,48,53,68,78,21,69,53
K. Gutiérrez,67,24,168,65,Defensa y Justicia,LCM,Argentina,2,1,76,57,65,68,60,69,57,47,67
D. Martinović,67,24,179,77,SV Waldhof Mannheim 07,ST,Croatia,3,1,79,67,54,68,21,65,69,58,68
H. Delbridge,67,29,193,90,Incheon United FC,LCB,Australia,2,1,58,32,41,45,63,87,24,68,39
Y. Toyokawa,67,26,171,64,Cerezo Osaka,SUB,Japan,3,1,81,66,56,68,21,60,66,67,64
J. Billong,67,27,192,88,Clermont Foot 63,SUB,France,2,1,51,34,46,46,67,77,25,64,47
K. Shibato,67,25,180,70,Urawa Red Diamonds,SUB,Japan,2,1,55,50,61,64,62,68,49,55,63
Neto Borges,67,24,183,84,CD Tondela,SUB,Brazil,3,1,68,49,61,67,62,78,48,58,68
D. Otto,67,22,185,82,SSV Jahn Regensburg,LS,Germany,3,1,71,68,54,66,27,61,70,64,68
C. Almeida,67,31,170,65,Club Nacional de Football,SUB,Uruguay,2,1,56,38,58,60,69,58,33,63,62
Á. Rodriguez,67,28,174,72,Centro Atlético Fénix,RCM,Uruguay,3,1,75,52,56,61,65,69,52,58,61
M. Toye,67,22,191,82,Club de Foot Montréal,SUB,United States,2,1,73,69,44,63,30,68,70,67,63
M. Dauda,67,23,176,69,FC Cartagena,SUB,Ghana,3,1,85,65,55,70,23,60,66,62,68
G. Busio,67,19,170,61,Venezia FC,CM,United States,3,1,64,62,65,71,59,65,63,58,68
B. Hussein,67,21,175,70,AIK,LCM,Sweden,3,1,67,56,67,69,56,63,58,45,67
A. Mora,67,23,190,81,Fútbol Club Juárez,SUB,Mexico,2,1,67,29,45,42,67,73,22,71,33
J. Cascante,67,27,188,77,Austin FC,RCB,Costa Rica,2,1,50,37,46,49,65,73,45,68,45
J. Scherzer,67,25,185,76,RZ Pellets Wolfsberger AC,LB,Austria,2,1,68,42,58,65,65,72,36,61,66
J. Carbonero,67,21,170,75,Gimnasia y Esgrima La Plata,SUB,Colombia,3,1,89,63,53,70,19,61,65,41,69
V. Gvilia,67,27,183,80,Raków Częstochowa,SUB,Georgia,3,1,64,64,68,68,54,67,64,55,66
A. Trouillet,67,20,175,65,AJ Auxerre,SUB,France,3,1,65,48,67,72,57,56,44,57,72
Y. Oki,67,21,184,82,Kashima Antlers,GK,Japan,1,1,,,,,,,12,16,12
San Román,67,23,189,79,SD Huesca,SUB,Spain,1,1,,,,,,,8,13,6
A. Al Hassan,67,24,182,65,Al Nassr,LDM,Saudi Arabia,2,1,68,51,61,64,61,70,53,54,63
J. Clarke,67,20,181,74,Tottenham Hotspur,RES,England,3,1,75,60,61,71,25,53,62,53,73
S. Ndlovu,67,24,170,68,Orlando Pirates,SUB,South Africa,4,1,76,63,65,69,61,51,62,32,71
D. Afolayan,67,23,180,70,Bolton Wanderers,LW,England,3,1,81,59,59,69,43,60,60,55,71
A. Gordon,67,20,185,70,Everton,SUB,England,3,1,79,61,60,70,31,55,62,45,73
Álex Collado,67,22,177,66,FC Barcelona,RES,Spain,3,1,63,65,70,69,56,39,64,51,71
Li Shuai,67,26,180,75,Dalian Professional Football Club,LB,China PR,3,1,77,41,58,65,61,72,37,49,63
Y. Sugita,67,28,164,65,IK Sirius,RW,Japan,3,1,81,60,61,70,30,47,62,36,70
S. Strand,67,28,175,70,IF Elfsborg,LB,Sweden,2,1,85,31,55,63,60,66,27,45,60
S. Callegari,67,24,188,83,Platense,SUB,Argentina,2,1,51,33,50,48,68,69,29,69,36
L. Ramazani,67,20,167,55,Unión Deportiva Almería,RM,Belgium,3,1,83,59,59,71,33,56,59,41,71
P. Wiśniewski,67,22,194,91,Górnik Zabrze,RCB,Poland,2,1,85,25,45,51,66,76,16,60,44
B. Slisz,67,22,180,76,Legia Warszawa,LCM,Poland,3,1,69,54,62,65,67,73,54,63,63
Zubiaurre,67,24,190,80,Real Sociedad B,GK,Spain,1,1,,,,,,,11,18,14
E. Loiodice,67,20,175,71,Unión Deportiva Las Palmas,SUB,France,3,1,57,53,63,72,59,60,50,58,72
M. Pedersen,67,21,183,76,Feyenoord,RB,Norway,3,1,89,48,56,65,58,65,48,38,65
A. McCann,67,21,178,65,Preston North End,SUB,Northern Ireland,2,1,70,59,61,68,65,69,58,54,67
M. Hosseini,67,25,183,76,Yukatel Kayserispor,SUB,Iran,2,1,64,28,46,51,70,68,18,70,42
K. Lewis-Potter,67,20,170,67,Hull City,LM,England,3,1,80,63,61,68,30,58,65,64,67
C. Abi,67,21,187,71,En Avant de Guingamp,SUB,France,3,1,77,64,59,67,28,63,65,63,69
W. Tchimbembé,67,23,180,74,FC Metz,SUB,France,3,1,83,64,64,68,58,59,64,38,68
B. Nygren,67,19,184,77,SC Heerenveen,SUB,Sweden,3,1,64,65,65,67,20,59,68,52,68
F. Rieder,67,25,171,67,SK Austria Klagenfurt,LM,Austria,3,1,73,52,65,68,57,66,48,31,67
D. Saddiki,67,24,179,70,Willem II,RCM,Morocco,2,1,76,54,59,62,66,75,50,62,60
S. Mamba,67,27,177,75,F.C. Hansa Rostock,RM,Germany,3,1,92,65,45,66,26,66,68,58,65
L. Ilić,67,21,182,73,FC Twente,RM,Serbia,4,1,77,53,67,70,41,59,50,46,71
B. Motshwari,67,30,172,66,Orlando Pirates,RCM,South Africa,3,1,76,58,66,69,55,67,54,55,68
J. Dörfler,67,24,186,80,SC Paderborn 07,SUB,Germany,3,1,75,52,59,65,61,74,54,53,66
T. Mølgaard,67,24,183,73,Vejle Boldklub,RB,Denmark,3,1,75,45,55,63,62,75,42,56,62
M. Behrens,67,24,193,89,SV Darmstadt 98,GK,Germany,1,1,,,,,,,7,13,8
N. Lozano,67,27,185,77,Granada CF,RES,Colombia,2,1,62,42,48,54,65,75,38,70,49
A. De Bruyn,67,27,177,69,KAA Gent,RES,Belgium,3,1,73,68,62,73,34,56,69,52,76
E. Lomotey,67,23,190,79,Amiens SC,SUB,Ghana,2,1,65,48,55,57,67,81,38,64,54
I. Sissoko,67,25,190,89,Chamois Niortais Football Club,SUB,France,2,1,71,68,53,63,32,69,70,68,65
H. Mörschel,67,23,190,75,SG Dynamo Dresden,CAM,Dominican Republic,3,1,68,65,63,68,37,61,67,67,69
D. Kopacz,67,22,181,73,FC Würzburger Kickers,RM,Poland,3,1,73,59,65,71,38,58,54,47,71
B. Kapacak,67,21,180,71,Fenerbahçe SK,RES,Turkey,2,1,81,59,62,69,54,64,61,50,73
P. Sokołowski,67,26,182,79,Piast Gliwice,RDM,Poland,3,1,65,49,61,66,63,71,44,52,66
A. Opoku,67,22,185,71,VfL Osnabrück,LW,Germany,3,1,82,49,64,70,39,62,47,48,74
D. Zagorac,67,34,186,80,Dinamo Zagreb,SUB,Croatia,1,1,,,,,,,10,11,18
L. Menalo,67,24,181,73,Dinamo Zagreb,SUB,Bosnia and Herzegovina,3,1,78,61,59,71,26,54,61,39,72
A. Idah,67,20,190,83,Norwich City,SUB,Republic of Ireland,2,1,72,68,42,64,22,66,69,65,64
L. Lapoussin,67,25,181,70,Royale Union Saint-Gilloise,LM,Madagascar,3,1,70,58,64,67,61,63,57,64,67
O. Andrievskyi,67,27,180,74,Dynamo Kyiv,SUB,Ukraine,2,1,66,51,62,51,64,59,39,47,42
Clemente,67,22,184,79,Real Zaragoza,RES,Spain,2,1,70,31,54,52,67,67,27,65,44
M. Eskihellaç,67,24,175,72,Yeni Malatyaspor,RM,Turkey,3,1,85,58,62,69,27,51,61,46,70
P. Lima,67,30,181,77,La Equidad,RCM,Uruguay,2,1,60,37,64,57,60,69,30,49,51
Carlos Mendes Gomes,67,22,178,66,Luton Town,SUB,Spain,3,1,82,64,60,68,31,56,64,38,66
B. Omeragic,67,19,187,76,FC Zürich,RCB,Switzerland,2,1,75,35,55,55,66,70,25,65,50
K. Osako,67,21,187,86,Sanfrecce Hiroshima,GK,Japan,1,1,,,,,,,7,10,12
M. Hjulmand,67,22,185,78,Lecce,LCM,Denmark,2,1,64,53,62,65,59,73,49,53,66
C. Sabaly,67,22,168,56,FC Metz,SUB,Senegal,3,1,81,58,60,70,18,40,65,46,71
J. Keita,67,22,168,58,Racing Club de Lens,SUB,Guinea,3,1,92,62,53,73,32,44,66,41,73
N. Celic,67,22,185,74,SV Darmstadt 98,RES,Austria,2,1,57,47,63,59,65,76,35,58,57
A. Duarte,67,27,185,76,Club Sporting Cristal,GK,Peru,1,1,,,,,,,9,10,13
G. Guiffrey,67,23,182,74,Gimnasia y Esgrima La Plata,LCB,Argentina,2,1,69,36,49,57,68,71,31,66,48
R. Decostere,67,23,180,68,KSV Cercle Brugge,SUB,Belgium,2,1,75,44,60,65,63,66,36,56,65
C. Vanhoutte,67,22,182,73,KSV Cercle Brugge,LCM,Belgium,2,1,64,54,59,65,62,70,53,57,62
M. Fischer,67,25,179,72,FK Austria Wien,RAM,Austria,3,1,70,63,66,68,43,68,64,58,68
L. Pons,67,31,181,79,Club Atlético Banfield,ST,Argentina,2,1,54,69,50,61,22,66,73,70,61
F. Pierrot,67,26,194,93,En Avant de Guingamp,SUB,Haiti,2,1,64,69,50,58,27,79,71,65,59
A. Ciss,67,21,186,65,Amiens SC,RM,Senegal,3,1,80,59,61,68,54,73,60,65,66
N. Opoku,67,23,190,78,Amiens SC,SUB,Ghana,2,1,66,37,43,49,66,75,29,64,44
L. Osaki,67,29,187,82,Vissel Kobe,RES,Japan,2,1,52,37,54,46,66,73,28,68,37
J. Guillemenot,67,23,183,73,FC St. Gallen 1879,RS,Switzerland,3,1,76,65,64,68,37,66,65,64,68
Juan Hernández,67,26,186,75,AD Alcorcón,LM,Spain,3,1,61,62,66,66,24,46,71,42,69
Sergio López,67,22,179,69,FC Basel 1893,SUB,Spain,2,1,76,55,63,68,62,57,52,64,68
G. Botos,67,20,172,69,Go Ahead Eagles,SUB,Greece,3,1,68,55,68,73,48,54,50,46,76
H. Boussefiane,67,23,177,65,Málaga CF,SUB,Morocco,3,1,87,60,58,68,32,45,63,42,70
Edu Espiau,67,26,185,84,SD Ponferradina,RS,Spain,3,1,70,66,54,63,25,59,67,67,66
E. Ceïde,67,19,175,74,Rosenborg BK,SUB,Norway,4,1,83,55,57,73,33,50,56,37,74
A. Kampetsis,67,22,186,81,Willem II,SUB,Greece,2,1,76,65,60,69,28,66,69,66,69
C. Ortiz,67,34,181,80,Deportivo La Guaira FC,ST,Venezuela,2,1,66,73,42,57,19,61,75,72,60
C. Elva,67,24,180,81,FC Ingolstadt 04,RES,Canada,3,1,92,56,55,69,26,69,55,59,68
Cho Jae Wan,67,25,174,70,Gangwon FC,RW,Korea Republic,4,1,84,64,57,68,31,68,66,61,66
Sebastián Méndez,67,24,175,72,Orlando City Soccer Club,LDM,Ecuador,2,1,67,58,63,63,65,67,56,62,62
Sergio Gónzalez,67,24,184,70,CD Tenerife,SUB,Spain,2,1,66,40,56,55,66,70,35,64,46
M. Palacios,67,19,168,73,FC Basel 1893,SUB,Argentina,4,1,68,60,69,71,46,48,59,48,70
E. Laird,67,19,177,66,Swansea City,RWB,England,3,1,81,54,60,66,63,70,54,63,67
J. Madrid,67,24,180,74,Club Sporting Cristal,CB,Peru,2,1,74,30,53,66,63,66,25,52,65
S. Rhein,67,23,180,74,F.C. Hansa Rostock,SUB,Germany,2,1,67,42,67,65,63,67,38,52,63
Salva Ferrer,67,23,184,73,Spezia,LM,Spain,2,1,70,35,56,61,65,70,25,63,58
K. Sidibé,67,22,200,85,US Quevilly Rouen Métropole,SUB,France,2,1,46,45,55,57,66,73,41,65,56
X. Arreaga,67,26,183,75,Seattle Sounders FC,CB,Ecuador,2,1,47,24,45,34,69,73,18,78,27
N. Fujimoto,67,31,175,69,Shimizu S-Pulse,RES,Japan,3,1,77,68,55,67,29,61,68,58,64
K. Cabral,67,21,183,75,LA Galaxy,LM,France,3,1,80,59,59,70,35,59,60,55,74
Valdo,67,29,183,77,Shimizu S-Pulse,RCB,Brazil,2,1,69,38,41,45,68,72,36,70,37
Á. Gabrielli,67,28,179,77,Club Nacional de Football,SUB,Uruguay,2,1,66,42,57,62,63,64,39,58,63
Hugo Vallejo,67,21,185,80,Real Valladolid CF,RES,Spain,3,1,64,65,64,70,36,54,70,41,74
D. Jones,67,24,175,75,New England Revolution,LB,United States,2,1,83,56,61,66,63,72,56,66,65
R. Hirose,67,25,176,68,Kashima Antlers,RES,Japan,2,1,79,38,59,63,62,65,36,46,62
Í. Jóhannesson,67,18,180,72,F.C. København,SUB,Iceland,3,1,71,59,68,69,41,59,56,42,66
Pedro Pelágio,67,21,181,75,Clube Sport Marítimo,SUB,Portugal,3,1,63,54,68,69,56,66,46,49,69
K. Sekgota,67,24,170,70,Kaizer Chiefs,SUB,South Africa,3,1,82,65,57,71,27,56,60,48,72
Um Won Sang,67,22,171,63,GwangJu FC,RW,Korea Republic,4,1,93,57,56,69,38,60,60,40,68
S. Dewaele,67,22,180,74,AS Nancy Lorraine,LCM,Belgium,2,1,66,47,68,66,63,60,40,51,64
A. Derviševič,67,28,195,88,SC East Bengal FC,CM,Slovenia,2,1,59,66,73,59,54,72,64,52,58
L. Miranda,67,23,168,70,Club Deportes Tolima,RM,Colombia,3,1,77,57,57,68,27,56,64,65,68
A. Mance,67,25,189,77,FC Erzgebirge Aue,SUB,Croatia,2,1,64,69,46,63,24,62,71,74,65
L. Ofori,67,23,181,73,Futebol Clube de Famalicão,SUB,Ghana,3,1,73,55,65,75,58,61,51,48,75
A. Seko,67,21,183,72,Cerezo Osaka,LCB,Japan,2,1,60,35,50,56,68,70,28,67,49
H. Araki,67,24,186,77,Sanfrecce Hiroshima,CB,Japan,2,1,52,27,49,52,69,71,26,68,46
I. Camará,67,22,190,76,Moreirense FC,SUB,Guinea,2,1,62,45,54,61,66,71,38,62,61
T. Tanaka,67,29,172,69,Urawa Red Diamonds,SUB,Japan,3,1,82,61,63,65,49,66,62,37,65
L. Stergiou,67,19,180,75,FC St. Gallen 1879,RCB,Switzerland,2,1,65,32,46,49,68,72,27,64,38
A. Scheidler,67,23,192,90,Dijon FCO,ST,France,2,1,54,69,51,59,31,75,71,70,62
O. Deman,67,21,181,70,KSV Cercle Brugge,LW,Belgium,3,1,76,64,61,68,45,65,65,62,68
R. Vaca,67,22,176,61,K Beerschot VA,SUB,Bolivia,3,1,73,66,63,69,26,37,64,40,75
I. Gheorghe,67,21,171,63,FC Voluntari,LW,Romania,3,1,87,62,64,69,34,60,63,35,66
J. Rodríguez,67,31,173,67,CFR Cluj,CDM,Argentina,3,1,70,62,69,69,62,63,57,57,68
A. Vlad,67,22,190,85,FCSB (Steaua),GK,Romania,1,1,,,,,,,15,12,19
F. Ștefan,67,25,182,70,CFR Cluj,RES,Romania,3,1,70,59,64,64,65,70,56,61,63
Filipe Nascimento,67,26,175,67,Radomiak Radom,LDM,Portugal,3,1,76,59,68,69,54,59,56,48,66
Erico,67,31,185,81,AFC UTA Arad,RCB,Brazil,2,1,69,32,40,51,66,78,33,64,38
V. Ghiță,67,23,186,80,FC Farul Constanța,LCB,Romania,2,1,57,44,50,50,67,73,43,70,42
N. Boujellab,67,22,182,72,FC Ingolstadt 04,SUB,Morocco,3,1,70,60,62,73,50,52,62,49,75
M. Minchev,67,20,184,78,AC Sparta Praha,RES,Bulgaria,2,1,79,67,59,68,27,65,66,63,68
R. Piccoli,67,20,183,78,Atalanta,SUB,Italy,2,1,58,67,49,61,34,64,72,70,59
J. Handl,67,23,196,86,FK Austria Wien,LCB,Austria,2,1,55,30,43,44,66,77,23,78,39
M. Taferner,67,20,170,60,RZ Pellets Wolfsberger AC,LCM,Austria,3,1,73,60,66,71,58,54,56,46,69
J. Greaves,67,20,191,70,Hull City,LCB,England,2,1,64,31,50,55,66,73,25,64,52
C. Niasse,67,21,188,82,LOSC Lille,RES,Senegal,2,1,59,44,59,64,64,70,39,58,67
J. Orellana,67,23,179,72,Club Bolívar,SUB,Bolivia,2,1,77,37,57,60,63,65,39,59,56
H. Rodríguez,67,25,174,75,Club Bolívar,RCM,Bolivia,2,1,74,55,57,66,59,65,59,57,59
D. Gugganig,67,24,190,66,RZ Pellets Wolfsberger AC,SUB,Austria,2,1,51,36,49,48,67,75,30,70,38
F. Oswald,67,30,184,77,WSG Tirol,GK,Germany,1,1,,,,,,,7,13,14
J. Pretell,67,22,171,66,Club Sporting Cristal,SUB,Peru,2,1,69,50,65,65,64,65,37,65,61
A. Stiller,67,20,183,79,TSG Hoffenheim,SUB,Germany,3,1,64,53,72,67,60,63,47,63,65
A. Luković,67,26,189,83,Belenenses SAD,SUB,Serbia,3,1,72,65,64,67,58,71,64,62,68
Kirian,67,25,180,73,Unión Deportiva Las Palmas,SUB,Spain,3,1,64,57,65,69,54,69,53,57,68
T. Petrášek,67,29,199,99,Raków Częstochowa,SUB,Czech Republic,2,1,64,45,38,44,67,79,42,75,37
P. Schwarz,67,29,174,70,Śląsk Wrocław,LCM,Czech Republic,3,1,69,61,67,65,61,72,58,57,62
O. Vâlceanu,67,24,187,77,Gaz Metan Mediaş,GK,Romania,1,1,,,,,,,16,13,19
A. Leguizamón,67,29,186,77,CS Emelec,CB,Argentina,2,1,55,33,50,47,67,72,33,57,33
M. Halaïmia,67,24,180,74,K Beerschot VA,RM,Algeria,2,1,75,27,54,59,64,69,23,58,57
T. Tlolane,67,26,171,62,Orlando Pirates,SUB,South Africa,2,1,69,26,57,64,62,60,23,54,65
K. Yeboah,67,21,185,73,SK Sturm Graz,RS,Ghana,3,1,91,65,56,68,23,63,68,56,70
Jorge Silva,67,25,183,76,FC Paços de Ferreira,SUB,Portugal,2,1,72,40,59,65,63,63,35,43,66
B. Kramer,67,25,191,87,FC Zürich,LS,Slovenia,2,1,73,65,54,64,36,74,64,68,63
B. Soumaré,67,22,180,70,Dijon FCO,RM,France,3,1,65,57,67,70,58,60,51,70,73
V. Müller,67,20,190,91,PSV,RES,Germany,1,1,,,,,,,6,18,6
Alex Suárez,67,28,177,74,Unión Deportiva Las Palmas,SUB,Spain,2,1,69,36,52,51,67,66,36,68,37
D. Štiglec,67,30,189,80,Śląsk Wrocław,SUB,Croatia,2,1,67,43,58,60,64,77,25,63,58
K. Ehlers,67,20,186,84,SG Dynamo Dresden,SUB,Germany,2,1,65,29,51,53,68,67,22,64,42
M. Malone,67,20,187,85,1. FC Heidenheim 1846,SUB,Germany,3,1,80,66,59,67,31,69,68,62,69
Y. Ben Balla,67,25,181,72,FC Ingolstadt 04,RES,France,2,1,67,51,53,60,67,69,48,51,58
F. Brizuela,67,24,175,75,Guaireña FC,RM,Paraguay,2,1,79,65,61,68,35,59,66,53,68
